Nombre,Archivos multimedia,Comentarios,Estado,Fecha,ID Local,KAM,Subítem,URL,ítem principal
Semana 7 (10/02 - 14/02),,,,,,,"La Dicha (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/La%20Dicha%20b634e132803b4fc89d8ea1d1330cbccf.html), La Gordis (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/La%20Gordis%2019a390731e23806fb8eec718204e9dd6.html)",,
La Dicha,,,Solucionado,12 de febrero de 2025,5111277929365504-00001,America Garcia,La Dicha (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/La%20Dicha%2019a390731e2380c99f47e68e1e6a36ba.html),,Semana 7 (10/02 - 14/02) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%207%20(10%2002%20-%2014%2002)%205f77870cab1d43888104a0c9608f926c.html)
La Gordis,Clientes%20en%20revisi%C3%B3n%202025/toteat_2025_02_13_57168101708914_(1).txt,,Solucionado,14 de febrero de 2025,5633472214990848-00002,Nataly Andrea Cardona Enciso,,https://toteat-espacio.slack.com/archives/C03QVMP2800/p1739542096555749,Semana 7 (10/02 - 14/02) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%207%20(10%2002%20-%2014%2002)%205f77870cab1d43888104a0c9608f926c.html)
La Dicha,,,Solucionado,14 de febrero de 2025,5111277929365504-00001,America Garcia,La Dicha (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/La%20Dicha%201a1390731e2380b7ac8dda7c0d906a48.html),,La Dicha (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/La%20Dicha%20b634e132803b4fc89d8ea1d1330cbccf.html)
La Dicha,,,Solucionado,20 de febrero de 2025,5111277929365504-00001,America Garcia,,,La Dicha (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/La%20Dicha%2019a390731e2380c99f47e68e1e6a36ba.html)
Semana 8 (17/02 - 21/02),,,,,,,LOS TRES COMPADRES VISTA NORTE (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/LOS%20TRES%20COMPADRES%20VISTA%20NORTE%201a8390731e238025b91cebb3f6888dc7.html),,
LOS TRES COMPADRES VISTA NORTE,,,Solucionado,20 de febrero de 2025,5307754972577792-00001,Giovanni Soriano,,,Semana 8 (17/02 - 21/02) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%208%20(17%2002%20-%2021%2002)%201a8390731e23808a838dfb9d79c51fd5.html)
Semana 9 (24/02 - 28/02),,,,,,,PLANTA DE PRODUCCION (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/PLANTA%20DE%20PRODUCCION%201a8390731e2380bebb12dff1e1ae5c1e.html),,
PLANTA DE PRODUCCION,,En revision con Rene y Alexander,Solucionado,25 de febrero de 2025,4557213587472384-00008,Yurani Torres,,,Semana 9 (24/02 - 28/02) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%209%20(24%2002%20-%2028%2002)%201a8390731e2380feba9cf11c3d12a3b7.html)
Semana 10 (03/03 - 07/03),,,,,,,"CHAINI’S SANTIAGUILLO (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/CHAINI%E2%80%99S%20SANTIAGUILLO%201ae390731e238013af57f1ff86a4bec4.html), Oakberry Açaí C. Producción Bogotá (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Oakberry%20A%C3%A7a%C3%AD%20C%20Producci%C3%B3n%20Bogot%C3%A1%201ae390731e2380ae9e9afbd93eb354a6.html), CENTRO DE PRODUCCION CHICKEN BROS (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/CENTRO%20DE%20PRODUCCION%20CHICKEN%20BROS%201af390731e2380e68858e68e8a0020bc.html)",,
CHAINI’S SANTIAGUILLO,,,Solucionado,3 de marzo de 2025,5095132517629952-00001,Neyla Morales,,,Semana 10 (03/03 - 07/03) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2010%20(03%2003%20-%2007%2003)%201ae390731e23809fb2b6f6c2a61e32fb.html)
Oakberry Açaí C. Producción Bogotá,,,Solucionado,5 de marzo de 2025,6754718777475072-00005,Nataly Andrea Cardona Enciso,,,Semana 10 (03/03 - 07/03) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2010%20(03%2003%20-%2007%2003)%201ae390731e23809fb2b6f6c2a61e32fb.html)
CENTRO DE PRODUCCION CHICKEN BROS,,,Solucionado,5 de marzo de 2025,5015787609391104-00001,Nataly Andrea Cardona Enciso,,,Semana 10 (03/03 - 07/03) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2010%20(03%2003%20-%2007%2003)%201ae390731e23809fb2b6f6c2a61e32fb.html)
Semana 11 (10/03 - 14/03),,,,,,,"Cervecería Kunstmann Mall Plaza Florida (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Cervecer%C3%ADa%20Kunstmann%20Mall%20Plaza%20Florida%201b2390731e2380f78290f0eda46171db.html), Coliseo Live - CEDI (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Coliseo%20Live%20-%20CEDI%201b2390731e2380e39738cc7fe0fb415f.html)",,
Cervecería Kunstmann Mall Plaza Florida,,,Solucionado,10 de marzo de 2025,6593421733134336-00001,Katherine Boscan,,,Semana 11 (10/03 - 14/03) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2011%20(10%2003%20-%2014%2003)%201b2390731e23801fadcfefaf722c5353.html)
Coliseo Live - CEDI,,,Solucionado,11 de marzo de 2025,5391384816910336-00001,Nataly Andrea Cardona Enciso,,,Semana 11 (10/03 - 14/03) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2011%20(10%2003%20-%2014%2003)%201b2390731e23801fadcfefaf722c5353.html)
Semana 12 (17/03 - 21/03),,,,,,,"Acordeon (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Acordeon%201bd390731e2380f79087d632aa95d8b9.html), Mezanine Móvil Central (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Mezanine%20M%C3%B3vil%20Central%201bd390731e23803eb14fdb4b8661256d.html), Mezanine Móvil Oriental (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Mezanine%20M%C3%B3vil%20Oriental%201bd390731e2380008c89f4941ce5b684.html), La Borraja. (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/La%20Borraja%201bd390731e23808a9730dbcc26aa9821.html), Kento Providencia (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Kento%20Providencia%201bd390731e2380dfb7d8da4312cf8e62.html)",,
Acordeon,,,Solucionado,17 de marzo de 2025,5391384816910336-00009,Nataly Andrea Cardona Enciso,,,Semana 12 (17/03 - 21/03) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2012%20(17%2003%20-%2021%2003)%201b5390731e23804e97a9e1cd58582521.html)
Mezanine Móvil Central,,,Solucionado,18 de marzo de 2025,5391384816910336-00005,Nataly Andrea Cardona Enciso,,,Semana 12 (17/03 - 21/03) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2012%20(17%2003%20-%2021%2003)%201b5390731e23804e97a9e1cd58582521.html)
Semana 13 (24/03 - 28/03),,,,,,,"Restaurant Giratorio (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Restaurant%20Giratorio%201c3390731e238071bab3f3c35ce41e16.html), Kento Providencia (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Kento%20Providencia%201c3390731e23805c9b42c61608422388.html)",,
Mezanine Móvil Oriental,,,Solucionado,19 de marzo de 2025,5391384816910336-00004,Nataly Andrea Cardona Enciso,,,Semana 12 (17/03 - 21/03) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2012%20(17%2003%20-%2021%2003)%201b5390731e23804e97a9e1cd58582521.html)
La Borraja.,,,Solucionado,20 de marzo de 2025,5071578301464576-00002,Yurani Torres,,,Semana 12 (17/03 - 21/03) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2012%20(17%2003%20-%2021%2003)%201b5390731e23804e97a9e1cd58582521.html)
Kento Providencia,,,Solucionado,17 de marzo de 2025,6265500347006976-00001,Fernando Urrutia,,,Semana 12 (17/03 - 21/03) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2012%20(17%2003%20-%2021%2003)%201b5390731e23804e97a9e1cd58582521.html)
Kento Providencia,,,Escalado con RFP,25 de marzo de 2025,6265500347006976-00001,Fernando Urrutia,,,Semana 13 (24/03 - 28/03) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2013%20(24%2003%20-%2028%2003)%201bd390731e2380349d91d28b6bb55f31.html)
Restaurant Giratorio,,,Solucionado,24 de marzo de 2025,5827479096393728-00001,"José Matías ",,,Semana 13 (24/03 - 28/03) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2013%20(24%2003%20-%2028%2003)%201bd390731e2380349d91d28b6bb55f31.html)
Semana 14 (31/03 - 04/04),,,,,,,"Coliseo Live - CEDI (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Coliseo%20Live%20-%20CEDI%201c8390731e238011a4def558033f7bd5.html), IQQ_Estacion_Cerveceria. (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/IQQ_Estacion_Cerveceria%201c8390731e23801290fad33477df4a34.html), Street Wrap (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Street%20Wrap%201ca390731e2380e68236e318ab47a087.html)",,
Coliseo Live - CEDI,,,Solucionado,31 de marzo de 2025,5391384816910336-00001,Yurani Torres,,,Semana 14 (31/03 - 04/04) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2014%20(31%2003%20-%2004%2004)%201c8390731e23801c9fc0c2696c5f82b4.html)
IQQ_Estacion_Cerveceria.,,,Solucionado,1 de abril de 2025,4997053360635904-00001,America Garcia,,,Semana 14 (31/03 - 04/04) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2014%20(31%2003%20-%2004%2004)%201c8390731e23801c9fc0c2696c5f82b4.html)
Street Wrap,,,Solucionado,3 de abril de 2025,4973353481535488-00003,"José Matías ",,,Semana 14 (31/03 - 04/04) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2014%20(31%2003%20-%2004%2004)%201c8390731e23801c9fc0c2696c5f82b4.html)
Semana 14 (07/04 - 11/04),,,,,,,"Coliseo Live - CEDI (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Coliseo%20Live%20-%20CEDI%201ce390731e23803ba495e79c6def1ed0.html), Pain Paillasse Los Trapenses (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Pain%20Paillasse%20Los%20Trapenses%201d1390731e2380db9d9fc4c96f717af2.html), Restaurante Giratorio (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Restaurante%20Giratorio%201d1390731e2380d88f33c558a1703f98.html)",,
Coliseo Live - CEDI,,,Solucionado,7 de abril de 2025,5391384816910336-00001,Yurani Torres,,,Semana 14 (07/04 - 11/04) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2014%20(07%2004%20-%2011%2004)%201ce390731e23801c82a1f425356b2938.html)
Pain Paillasse Los Trapenses,,,Solucionado,8 de abril de 2025,6369398463660032-00001,Rafael Garcia,,,Semana 14 (07/04 - 11/04) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2014%20(07%2004%20-%2011%2004)%201ce390731e23801c82a1f425356b2938.html)
Restaurante Giratorio,,,Solucionado,9 de abril de 2025,5827479096393728-00001,"José Matías ",,,Semana 14 (07/04 - 11/04) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2014%20(07%2004%20-%2011%2004)%201ce390731e23801c82a1f425356b2938.html)
Semana 15 (14/04 - 18/04),,,,,,,"Sabaku (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Sabaku%201d8390731e238048940cf4c5a0d217d4.html), Pollos La Riviera Soacha Parque (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Pollos%20La%20Riviera%20Soacha%20Parque%201d8390731e2380f28d20c8345c7bd18c.html)",,
Sabaku,,,Solucionado,15 de abril de 2025,5364647896678400-00001,Giovanni Soriano,,,Semana 15 (14/04 - 18/04) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2015%20(14%2004%20-%2018%2004)%201d8390731e2380aabc03e208dc1662cd.html)
Pollos La Riviera Soacha Parque,,,En Revisión,17 de abril de 2025,6523766768926720-00004,America Garcia,,,Semana 15 (14/04 - 18/04) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2015%20(14%2004%20-%2018%2004)%201d8390731e2380aabc03e208dc1662cd.html)
Semana 17 (28/04 - 02/05),,,,,,,"Sabaku (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Sabaku%201e3390731e238007992dc78dcdeae7b9.html), IQQ_LA PICA (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/IQQ_LA%20PICA%201e3390731e238059ad2fe982391d06f3.html)",,
Sabaku,,,Solucionado,28 de abril de 2025,5364647896678400-00001,Giovanni Soriano,,,Semana 17 (28/04 - 02/05) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2017%20(28%2004%20-%2002%2005)%201e3390731e2380c2b3b6d414e011bcd5.html)
IQQ_LA PICA,,,Solucionado,28 de abril de 2025,6409246660624384-00001,America Garcia,,,Semana 17 (28/04 - 02/05) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2017%20(28%2004%20-%2002%2005)%201e3390731e2380c2b3b6d414e011bcd5.html)
Semana 18 (05/05 - 09/05),,,,,,,,,
Semana 18 (12/05 - 16/05),,,,,,,KROSSBAR_T2_D (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/KROSSBAR_T2_D%201f8390731e2380209fadcd43aa409e3b.html),,
KROSSBAR_T2_D,,,Solucionado,13 de mayo de 2025,5549869293633536-00001,Katherine Boscan,,,Semana 18 (12/05 - 16/05) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%2018%20(12%2005%20-%2016%2005)%201f8390731e2380ce8af5e50a9849da5f.html)
